Title,Release Year,Locations,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,ID
The Competition,1980,Pier 39,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Lee Remick,,957
The Competition,1980,California Academy of Sciences (Golden Gate Park),Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Lee Remick,,958
The Conversation,1974,Alta Plaza Park (Steiner Street),American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,959
The Conversation,1974,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,960
The Conversation,1974,Alcoa Building (1 Maritime Plaza),American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,961
The Conversation,1974,Alamo Square (Hayes Valley),American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,Mandy Patinkin,962
The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,963
The Conversation,1974,Union Square,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,964
The Conversation,1974,"Saks Fifth Avenue (384 Post Street, Union Square)",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,965
The Conversation,1974,One Embarcadero Center (Financial District),American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,966
The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,967
The Conversation,1974,Financial District,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,968
The Conversation,1974,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,,969
The Core,2003,Golden Gate Bridge,David Foster Productions,Paramount Pictures,John Amiel,Cooper Lane,Aaron Eckhart,Hilary Swank,,970
The Dead Pool,1988,San Francisco Drydock (The Dogpatch),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,971
The Dead Pool,1988,Washington Square Park (North Beach),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,972
The Dead Pool,1988,One Thousand Powell Apartments (1000 Powell Street),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,973
The Dead Pool,1988,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,974
The Dead Pool,1988,Posrtsmouth Square (Chinatown),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,975
The Dead Pool,1988,Pierce St. & Golden Gate Avenue (Hayes Valley),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,976
The Dead Pool,1988,Pierce & California Streets (Pacific Heights),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,977
The Dead Pool,1988,Pier 3 (The Embarcadero),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Ellen Barkin,978
The Dead Pool,1988,New Asia Restaurant (772 Pacific Avenue at Grant),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,979
The Dead Pool,1988,"Nam Yuen Restaurant (740 Washington Street, Chinatown)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,980
The Dead Pool,1988,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,981
The Dead Pool,1988,McAllister & Scott Streets (Hayes Valley),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,982
The Dead Pool,1988,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,983
The Dead Pool,1988,Hall of Justice (850 Bryant Street),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,984
The Dead Pool,1988,"San Francisco National Military Cemetary (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,985
The Dead Pool,1988,"Silver Restaurant (737 Washington Street, Chinatown)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,986
The Dead Pool,1988,Fremont Street Exit of Bay Bridge,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,987
The Dead Pool,1988,Folsom & Essex Streets,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,988
The Dead Pool,1988,"Eber Electronics (2355 Market Street, Castro)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,989
The Dead Pool,1988,Clementina & Sumner Streets,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,990
The Dead Pool,1988,Carl & Cole Streets (Cole Valley),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,991
The Dead Pool,1988,710 Steiner Street (Hayes Valley),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,992
The Dead Pool,1988,550 El Camino Del Mar (Seacliff),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,993
The Dead Pool,1988,23rd & Iowa Streets (Dogpatch),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,994
The Dead Pool,1988,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,995
The Dead Pool,1988,22nd & Wisconsin Streets (Potrero Hill),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,996
The Dead Pool,1988,20th & DeHaro Streets (Potrero Hill),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,997
The Dead Pool,1988,1954 Mason Street (North Beach),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,998
The Dead Pool,1988,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,,999
The Diary of a Teenage Girl,2015,Tank Hill Park,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1000
The Diary of a Teenage Girl,2015,Victoria Theatre,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1001
The Diary of a Teenage Girl,2015,SPECS' Twelve Adler Museum Café,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1002
The Diary of a Teenage Girl,2015,Ocean Beach at Point Lobos,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1003
The Diary of a Teenage Girl,2015,700 Kansas St.,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1004
The Diary of a Teenage Girl,2015,Presidio Branch Library,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1005
The Diary of a Teenage Girl,2015,The Royal Oak,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1006
The Diary of a Teenage Girl,2015,Tonic,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1007
The Diary of a Teenage Girl,2015,Polk and Northpoint St.,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1008
The Diary of a Teenage Girl,2015,770 Haight St.,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1009
The Diary of a Teenage Girl,2015,Hamburger Haven,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1010
The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1011
The Diary of a Teenage Girl,2015,304 Lily St.,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1012
The Diary of a Teenage Girl,2015,The Magazine at 920 Larkin,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1013
The Diary of a Teenage Girl,2015,Geary St. from Polk to Larkin,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1014
The Diary of a Teenage Girl,2015,Yerba Buena Island,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,1015
The Doctor,1991,,Silver Screen Partners IV,Buena Vista Pictures,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,,1016
The Doors,1991,,Bill Graham Films,TriStar Pictures,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,,1017
The Enforcer,1976,Sutter & Webster Streets,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Carrie-Anne Moss,1018
The Enforcer,1976,Hall of Justice,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Dennis Miller,1019
The Enforcer,1976,Coit Tower,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,,1020
The Enforcer,1976,City Hall,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,,1021
The Enforcer,1976,Balmy Street (Mission District),Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi,1022
The Enforcer,1976,Alcatraz Island,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi,1023
The Enforcer,1976,24th Street Mini Park (Mission District),Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi,1024
The Enforcer,1976,23rd & Capp Streets (Mission District),Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Natasha Richardson,1025
The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Dennis Miller,1026
The Fan,1996,Candlestick Park (602 Jamestown Ave.),Mandalay Entertainment,Columbia TriStar,Tony Scott,Phoef Sutton,Robert De Niro,Wesley Snipes,Meg Ryan,1027
The Fog of War,2003,,Sony Pictures Classics,Sony Pictures Classics,Errol Morris,N/A,Robert McNamara,,Meg Ryan,1028
The Game,1997,Merchant Exchange Building (465 California Street),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1029
The Game,1997,Washington Street & Waverly Place (Chinatown),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1030
The Game,1997,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1031
The Game,1997,Sheraton Palace Hotel (639 Market Street),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1032
The Game,1997,Ritz-Carlton Hotel (600 Stockton Street),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1033
The Game,1997,Presidio (Golden Gate National Recreation Area),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1034
The Game,1997,Merchant Exchange Building,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1035
The Game,1997,Mason & California Streets (Nob Hill),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1036
The Game,1997,Harrison Street (The Embarcadero),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1037
The Game,1997,City Club (155 Sansome Street),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1038
The Game,1997,Bay Bridge,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1039
The Game,1997,Bank of America Building (555 California Street),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1040
The Game,1997,301 Howard Street,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan,1041
The Game,1997,1 Bush Street,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Hector Elizondo,1042
The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Hector Elizondo,1043
The Graduate,1967,Bay Bridge,Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Hector Elizondo,1044
The House on Telegraph Hill,1951,Telegraph Hill,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo,1045
The House on Telegraph Hill,1951,Market Street,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo,1046
The House on Telegraph Hill,1951,Coit Tower,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo,1047
The House on Telegraph Hill,1951,1227 Montgomery Street,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo,1048
The Internship,2013,Grant Ave from Sacramento to Clay,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,1049
The Internship,2013,Montgomery and Union St.,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,1050
The Internship,2013,Epic Roasthouse,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,1051
The Internship,2013,Players Arcade at Pier 39,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,1052
The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),Warner Bros. Pictures,Warner Bros. Pictures,Alan Crosland,Alfred A. Cohn,Al Jolson,,Amy Adams,1053
The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton,1054
The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton,1055
The Lady from Shanghai,1947,Golden Gate Park,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton,1056
The Lady from Shanghai,1947,Fomer Hall of Justice (750 Kearny Street at Washington),Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton,1057
The Last of the Gladiators,1988,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel,,Dennis Quaid,1058
The Laughing Policeman,1973,,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Dennis Quaid,1059
The Lineup,1958,War Memorial Opera House (401 Van Ness Avenue),Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Dennis Quaid,1060
The Lineup,1958,The Embarcadero,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Dennis Quaid,1061
The Lineup,1958,Sutro Baths (Point Lobos Avenue),Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris,1062
The Lineup,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris,1063
The Lineup,1958,Pier 41,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris,1064
The Lineup,1958,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris,1065
The Lineup,1958,2090 Jackson Street,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris,1066
The Love Bug,1968,Golden Gate Bridge,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,Ed Harris,1067
The Love Bug,1968,100 Block of Lombard Street,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,Ed Harris,1068
The Maltese Falcon,1941,Golden Gate Bridge,Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Selma Blair,1069
The Maltese Falcon,1941,Ferry Building,Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Anne Baxter,1070
The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,,1071
The Master,2012,Pier 7/ Embarcadero,H.H. Project,Weinstein Company,Paul Thomas Anderson,Paul Thomas Anderson,Philip Seymour Hoffman,Joaquin Phoenix,William Holden,1072
The Matrix,1999,skyline/ exterior scenes,Silver Pictures,Warner Bros. Pictures,The Wachowski Brothers,The Wachowski Brothers,Keanu Reeves,Laurence Fishburne,William Holden,1073
The Net,1995,Moscone Convention Center,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,William Holden,1074
The Net,1995,Montgomery & Market Streets,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,William Holden,1075
The Nightmare Before Christmas,1993,,Touchstone PictureS,Buena Vista Pictures,Henry Selick,Tim Burton,Danny Elfman,Catherine O'Hara,William Holden,1076
The Organization,1971,,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier,,William Holden,1077
The Other Sister,1999,Transbay Terminal (Mission Street at 1st Street),Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,William Holden,1078
The Other Sister,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,,1079
The Other Sister,1999,Palace of Fine Arts (3301 Lyon Street),Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,,1080
The Parent Trap,1998,Administration Building (Treasure Island),Walt Disney Pictures,Buena Vista Pictures,Nancy Meyers,Nancy Meyers,Lindsay Lohan,Dennis Quaid,,1081
The Presidio,1988,Montgomery & Vallejo Streets (Telegraph Hill),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1082
The Presidio,1988,Washington Street & Waverly Place (Chinatown),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1083
The Presidio,1988,Sansome Street (The Embarcadero),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1084
The Presidio,1988,Presidio (Golden Gate National Recreation Area),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1085
The Presidio,1988,Market & 2nd Streets,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1086
The Presidio,1988,Hayes & Polk Streets (Civic Center),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1087
The Presidio,1988,Golden Gate Bridge,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1088
The Presidio,1988,"Fort Point (Presidio, Golden Gate National Recreation Area)",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1089
The Presidio,1988,Ferry Building,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1090
The Presidio,1988,Coit Tower,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1091
The Presidio,1988,Civic Center Plaza,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1092
The Presidio,1988,Battery Street (The Embarcadero),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,George Wendt,1093
The Presidio,1988,900 Block of Grant Avenue (Chinatown),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1094
The Presidio,1988,700 Block of Jackson Street (Chinatown),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1095
The Presidio,1988,200 Block of Sansome Street (Financial District),Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,,1096
The Princess Diaries,2001,724 Brazil Avenue,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,1097
The Princess Diaries,2001,Fisherman's Wharf,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,1098
The Princess Diaries,2001,Firestation #3 (Brazil Avenue and Athens Street),Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,1099
The Princess Diaries,2001,Cliff House (1090 Point Lobos Avenue),Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,1100
The Princess Diaries,2001,Broadway Tunnel (Broadway between Powell and Larkin),Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,1101
The Princess Diaries,2001,Baker Beach,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,1102
The Princess Diaries,2001,2601 Lyon Street,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,1103
The Pursuit of Happyness,2006,Glen Park Subway Station,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,1104
The Pursuit of Happyness,2006,Glide Memorial Church (434 Ellis St),Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,1105
The Pursuit of Happyness,2006,Candlestick Park (602 Jamestown Ave.),Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,1106
The Pursuit of Happyness,2006,Golden Gate Park Children's Playground ,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,1107
The Right Stuff,1983,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Ed Harris,,1108
The Right Stuff,1983,Cow Palace,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Ed Harris,,1109
The Right Stuff,1983,City Hall,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Ed Harris,,1110
The Right Stuff,1983,Financial District,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Ed Harris,,1111
The Rock,1996,Palace of Fine Arts (3301 Lyon Street),Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,1112
